session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,34,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,6,90
A,34,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,3,99
A,34,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,1,72
A,34,16,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,1,80
A,34,17,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,1,80
A,34,18,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,95
A,34,19,8,2,Pal,Indian,Hindu,OBC,obc,1,7,95
A,34,20,17,5,Gurung,Foreign,Hindu,N/A,obc,1,5,88
A,34,21,2,1,Joshi,Indian,Hindu,GM,obc,1,7,90
A,34,22,1,1,Desai,Indian,Hindu,GM,obc,1,7,92
A,34,23,13,4,Nadaf,Indian,Muslim,OBC,obc,1,7,90
A,34,24,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,90
A,35,1,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,95
A,35,2,23,6,Akhand,Foreign,Muslim,N/A,obc,0,4,70
A,35,3,18,5,Thapa,Foreign,Hindu,N/A,obc,0,4,80
A,35,4,5,2,Kale,Indian,Hindu,OBC,obc,1,7,90
A,35,5,3,1,Deshpande,Indian,Hindu,GM,obc,1,6,90
A,35,6,22,6,Mir,Foreign,Muslim,N/A,obc,0,6,70
A,35,7,11,3,Wadder,Indian,Hindu,SCST,obc,1,6,85
A,35,8,4,1,Kulkarni,Indian,Hindu,GM,obc,0,7,95
A,35,9,24,6,Mirza,Foreign,Muslim,N/A,obc,0,NA,75
A,35,10,15,4,Haq,Indian,Muslim,OBC,obc,1,7,95
A,35,11,9,3,Madar,Indian,Hindu,SCST,obc,1,6,90
A,35,12,16,4,Sheikh,Indian,Muslim,OBC,obc,1,7,95
A,35,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,6,80
A,35,14,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,95
A,35,15,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,1,70
