session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
B,39,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,7,70
B,39,8,1,1,Desai,Indian,Hindu,GM,scst,1,7,70
B,39,9,14,4,Mulla,Indian,Muslim,OBC,scst,0,1,0
B,39,10,16,4,Sheikh,Indian,Muslim,OBC,scst,0,4,40
B,39,11,22,6,Mir,Foreign,Muslim,N/A,scst,0,2,20
B,39,12,18,5,Thapa,Foreign,Hindu,N/A,scst,0,4,40
B,39,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,7,70
B,39,14,5,2,Kale,Indian,Hindu,OBC,scst,1,7,70
B,39,15,7,2,Sambrani,Indian,Hindu,OBC,scst,1,6,60
B,39,16,15,4,Haq,Indian,Muslim,OBC,scst,0,4,40
B,39,17,2,1,Joshi,Indian,Hindu,GM,scst,1,7,70
B,39,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,6,60
B,39,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,1,6,60
B,39,20,13,4,Nadaf,Indian,Muslim,OBC,scst,0,1,0
B,39,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,7,70
B,39,22,23,6,Akhand,Foreign,Muslim,N/A,scst,0,2,0
B,39,23,17,5,Gurung,Foreign,Hindu,N/A,scst,1,7,70
B,39,24,11,3,Wadder,Indian,Hindu,SCST,scst,1,7,70
B,40,1,21,6,Sheikh,Foreign,Muslim,N/A,scst,0,1,100
B,40,2,3,1,Deshpande,Indian,Hindu,GM,scst,1,6,90
B,40,3,8,2,Pal,Indian,Hindu,OBC,scst,1,7,100
B,40,4,4,1,Kulkarni,Indian,Hindu,GM,scst,1,1,NA
B,40,5,24,6,Mirza,Foreign,Muslim,N/A,scst,0,4,80
B,40,6,9,3,Madar,Indian,Hindu,SCST,scst,1,7,100
B,40,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,6,80
B,40,8,1,1,Desai,Indian,Hindu,GM,scst,1,6,80
B,40,9,14,4,Mulla,Indian,Muslim,OBC,scst,0,2,20
B,40,10,16,4,Sheikh,Indian,Muslim,OBC,scst,0,2,NA
B,40,11,22,6,Mir,Foreign,Muslim,N/A,scst,0,2,20
B,40,12,18,5,Thapa,Foreign,Hindu,N/A,scst,1,7,100
B,40,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,7,100
B,40,14,5,2,Kale,Indian,Hindu,OBC,scst,1,6,80
B,40,15,7,2,Sambrani,Indian,Hindu,OBC,scst,0,1,0
B,40,16,15,4,Haq,Indian,Muslim,OBC,scst,0,1,0
B,40,17,2,1,Joshi,Indian,Hindu,GM,scst,1,7,100
B,40,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,1,0
B,40,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,1,2,20
B,40,20,13,4,Nadaf,Indian,Muslim,OBC,scst,1,NA,100
B,40,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,7,0
B,40,22,23,6,Akhand,Foreign,Muslim,N/A,scst,0,1,50
B,40,23,17,5,Gurung,Foreign,Hindu,N/A,scst,0,4,NA
B,40,24,11,3,Wadder,Indian,Hindu,SCST,scst,1,1,0
B,41,1,21,6,Sheikh,Foreign,Muslim,N/A,scst,0,6,50
B,41,2,3,1,Deshpande,Indian,Hindu,GM,scst,1,6,60
B,41,3,8,2,Pal,Indian,Hindu,OBC,scst,1,6,60
B,41,4,4,1,Kulkarni,Indian,Hindu,GM,scst,1,6,60
B,41,5,24,6,Mirza,Foreign,Muslim,N/A,scst,0,5,40
B,41,6,9,3,Madar,Indian,Hindu,SCST,scst,1,6,30
B,41,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,6,50
B,41,8,1,1,Desai,Indian,Hindu,GM,scst,1,6,60
B,41,9,14,4,Mulla,Indian,Muslim,OBC,scst,1,6,70
B,41,10,16,4,Sheikh,Indian,Muslim,OBC,scst,0,6,70
B,41,11,22,6,Mir,Foreign,Muslim,N/A,scst,0,5,40
B,41,12,18,5,Thapa,Foreign,Hindu,N/A,scst,0,5,50
B,41,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,6,60
B,41,14,5,2,Kale,Indian,Hindu,OBC,scst,1,6,70
B,41,15,7,2,Sambrani,Indian,Hindu,OBC,scst,1,6,40
B,41,16,15,4,Haq,Indian,Muslim,OBC,scst,1,6,30
B,41,17,2,1,Joshi,Indian,Hindu,GM,scst,1,6,60
B,41,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,4,40
B,41,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,0,4,40
B,41,20,13,4,Nadaf,Indian,Muslim,OBC,scst,1,5,50
B,41,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,5,50
B,41,22,23,6,Akhand,Foreign,Muslim,N/A,scst,1,5,50
B,41,23,17,5,Gurung,Foreign,Hindu,N/A,scst,0,5,50
B,41,24,11,3,Wadder,Indian,Hindu,SCST,scst,1,6,100
B,42,1,21,6,Sheikh,Foreign,Muslim,N/A,scst,0,7,0
B,42,2,3,1,Deshpande,Indian,Hindu,GM,scst,1,7,100
B,42,3,8,2,Pal,Indian,Hindu,OBC,scst,1,1,100
B,42,4,4,1,Kulkarni,Indian,Hindu,GM,scst,1,7,100
B,42,5,24,6,Mirza,Foreign,Muslim,N/A,scst,1,7,100
B,42,6,9,3,Madar,Indian,Hindu,SCST,scst,1,7,100
B,42,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,6,100
B,42,8,1,1,Desai,Indian,Hindu,GM,scst,1,4,100
B,42,9,14,4,Mulla,Indian,Muslim,OBC,scst,0,6,0
B,42,10,16,4,Sheikh,Indian,Muslim,OBC,scst,0,7,100
B,42,11,22,6,Mir,Foreign,Muslim,N/A,scst,1,4,100
B,42,12,18,5,Thapa,Foreign,Hindu,N/A,scst,1,7,100
B,42,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,4,100
B,42,14,5,2,Kale,Indian,Hindu,OBC,scst,1,4,0
B,42,15,7,2,Sambrani,Indian,Hindu,OBC,scst,1,6,100
B,42,16,15,4,Haq,Indian,Muslim,OBC,scst,0,4,100
B,42,17,2,1,Joshi,Indian,Hindu,GM,scst,1,4,0
B,42,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,1,100
B,42,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,1,7,100
B,42,20,13,4,Nadaf,Indian,Muslim,OBC,scst,1,7,100
B,42,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,7,100
B,42,22,23,6,Akhand,Foreign,Muslim,N/A,scst,1,7,100
B,42,23,17,5,Gurung,Foreign,Hindu,N/A,scst,1,7,100
B,42,24,11,3,Wadder,Indian,Hindu,SCST,scst,1,7,100
B,43,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,1,10
B,43,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,80
B,43,3,8,2,Pal,Indian,Hindu,OBC,obc,0,5,50
B,43,4,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,100
B,43,5,24,6,Mirza,Foreign,Muslim,N/A,obc,1,1,10
B,43,6,9,3,Madar,Indian,Hindu,SCST,obc,1,5,40
B,43,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,100
B,43,8,1,1,Desai,Indian,Hindu,GM,obc,1,1,0
B,43,9,14,4,Mulla,Indian,Muslim,OBC,obc,0,5,40
B,43,10,16,4,Sheikh,Indian,Muslim,OBC,obc,0,1,0
B,43,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,5,50
B,43,12,18,5,Thapa,Foreign,Hindu,N/A,obc,1,7,80
B,43,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,90
B,43,14,5,2,Kale,Indian,Hindu,OBC,obc,0,5,40
B,43,15,7,2,Sambrani,Indian,Hindu,OBC,obc,0,7,100
B,43,16,15,4,Haq,Indian,Muslim,OBC,obc,0,1,0
B,43,17,2,1,Joshi,Indian,Hindu,GM,obc,1,7,70
B,43,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,1,20
B,43,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,7,60
B,43,20,13,4,Nadaf,Indian,Muslim,OBC,obc,1,1,0
B,43,21,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,100
B,43,22,23,6,Akhand,Foreign,Muslim,N/A,obc,0,1,0
B,43,23,17,5,Gurung,Foreign,Hindu,N/A,obc,1,5,40
B,43,24,11,3,Wadder,Indian,Hindu,SCST,obc,1,1,0
B,44,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,NA,0
B,44,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,80
B,44,3,8,2,Pal,Indian,Hindu,OBC,obc,1,6,80
B,44,4,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,90
B,44,5,24,6,Mirza,Foreign,Muslim,N/A,obc,0,NA,0
B,44,6,9,3,Madar,Indian,Hindu,SCST,obc,1,4,80
B,44,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,90
B,44,8,1,1,Desai,Indian,Hindu,GM,obc,1,7,90
B,44,9,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,100
B,44,10,16,4,Sheikh,Indian,Muslim,OBC,obc,1,NA,0
B,44,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,7,90
B,44,12,18,5,Thapa,Foreign,Hindu,N/A,obc,0,NA,0
B,44,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,90
B,44,14,5,2,Kale,Indian,Hindu,OBC,obc,1,7,90
B,44,15,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,100
B,44,16,15,4,Haq,Indian,Muslim,OBC,obc,1,NA,0
B,44,17,2,1,Joshi,Indian,Hindu,GM,obc,1,7,100
B,44,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,NA,0
B,44,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,NA,0
B,44,20,13,4,Nadaf,Indian,Muslim,OBC,obc,1,6,80
B,44,21,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,90
B,44,22,23,6,Akhand,Foreign,Muslim,N/A,obc,1,NA,0
B,44,23,17,5,Gurung,Foreign,Hindu,N/A,obc,1,NA,0
B,44,24,11,3,Wadder,Indian,Hindu,SCST,obc,1,7,100
B,45,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,6,100
B,45,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,4,0
B,45,3,8,2,Pal,Indian,Hindu,OBC,obc,1,7,75
B,45,4,4,1,Kulkarni,Indian,Hindu,GM,obc,0,6,50
B,45,5,24,6,Mirza,Foreign,Muslim,N/A,obc,1,4,20
B,45,6,9,3,Madar,Indian,Hindu,SCST,obc,0,7,100
B,45,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,75
B,45,8,1,1,Desai,Indian,Hindu,GM,obc,1,4,50
B,45,9,14,4,Mulla,Indian,Muslim,OBC,obc,1,4,75
B,45,10,16,4,Sheikh,Indian,Muslim,OBC,obc,1,7,50
B,45,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,6,75
B,45,12,18,5,Thapa,Foreign,Hindu,N/A,obc,1,4,50
B,45,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,6,75
B,45,14,5,2,Kale,Indian,Hindu,OBC,obc,1,4,90
B,45,15,7,2,Sambrani,Indian,Hindu,OBC,obc,1,6,80
B,45,16,15,4,Haq,Indian,Muslim,OBC,obc,0,4,80
B,45,17,2,1,Joshi,Indian,Hindu,GM,obc,1,6,60
B,45,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,4,50
B,45,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,6,70
B,45,20,13,4,Nadaf,Indian,Muslim,OBC,obc,1,5,75
B,45,21,12,3,Harijan,Indian,Hindu,SCST,obc,0,4,70
B,45,22,23,6,Akhand,Foreign,Muslim,N/A,obc,1,5,50
B,45,23,17,5,Gurung,Foreign,Hindu,N/A,obc,0,4,50
B,45,24,11,3,Wadder,Indian,Hindu,SCST,obc,1,6,70
B,46,1,21,6,Sheikh,Foreign,Muslim,N/A,scst,1,7,99
B,46,2,3,1,Deshpande,Indian,Hindu,GM,scst,1,6,80
B,46,3,8,2,Pal,Indian,Hindu,OBC,scst,0,5,99
B,46,4,4,1,Kulkarni,Indian,Hindu,GM,scst,1,6,80
B,46,5,24,6,Mirza,Foreign,Muslim,N/A,scst,1,7,80
B,46,6,9,3,Madar,Indian,Hindu,SCST,scst,0,7,80
B,46,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,NA,NA
B,46,8,1,1,Desai,Indian,Hindu,GM,scst,1,7,80
B,46,9,14,4,Mulla,Indian,Muslim,OBC,scst,0,5,100
B,46,10,16,4,Sheikh,Indian,Muslim,OBC,scst,0,5,70
B,46,11,22,6,Mir,Foreign,Muslim,N/A,scst,0,5,50
B,46,12,18,5,Thapa,Foreign,Hindu,N/A,scst,0,5,50
B,46,13,10,3,Kamble,Indian,Hindu,SCST,scst,0,5,50
B,46,14,5,2,Kale,Indian,Hindu,OBC,scst,0,5,50
B,46,15,7,2,Sambrani,Indian,Hindu,OBC,scst,1,6,80
B,46,16,15,4,Haq,Indian,Muslim,OBC,scst,1,7,80
B,46,17,2,1,Joshi,Indian,Hindu,GM,scst,0,6,80
B,46,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,0,5,50
B,46,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,1,6,80
B,46,20,13,4,Nadaf,Indian,Muslim,OBC,scst,0,5,50
B,46,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,6,80
B,46,22,23,6,Akhand,Foreign,Muslim,N/A,scst,0,5,50
B,46,23,17,5,Gurung,Foreign,Hindu,N/A,scst,0,6,50
B,46,24,11,3,Wadder,Indian,Hindu,SCST,scst,0,6,80
B,47,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,7,99
B,47,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,6,80
B,47,3,8,2,Pal,Indian,Hindu,OBC,obc,0,5,99
B,47,4,4,1,Kulkarni,Indian,Hindu,GM,obc,1,6,80
B,47,5,24,6,Mirza,Foreign,Muslim,N/A,obc,1,7,80
B,47,6,9,3,Madar,Indian,Hindu,SCST,obc,0,7,80
B,47,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,100
B,47,8,1,1,Desai,Indian,Hindu,GM,obc,1,5,70
B,47,9,14,4,Mulla,Indian,Muslim,OBC,obc,0,6,80
B,47,10,16,4,Sheikh,Indian,Muslim,OBC,obc,0,5,50
B,47,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,5,50
B,47,12,18,5,Thapa,Foreign,Hindu,N/A,obc,0,3,30
B,47,13,10,3,Kamble,Indian,Hindu,SCST,obc,0,5,50
B,47,14,5,2,Kale,Indian,Hindu,OBC,obc,0,5,50
B,47,15,7,2,Sambrani,Indian,Hindu,OBC,obc,1,6,80
B,47,16,15,4,Haq,Indian,Muslim,OBC,obc,1,7,80
B,47,17,2,1,Joshi,Indian,Hindu,GM,obc,0,6,80
B,47,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,5,50
B,47,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,6,80
B,47,20,13,4,Nadaf,Indian,Muslim,OBC,obc,0,5,50
B,47,21,12,3,Harijan,Indian,Hindu,SCST,obc,1,6,50
B,47,22,23,6,Akhand,Foreign,Muslim,N/A,obc,0,5,50
B,47,23,17,5,Gurung,Foreign,Hindu,N/A,obc,0,5,50
B,47,24,11,3,Wadder,Indian,Hindu,SCST,obc,0,6,80
B,48,1,21,6,Sheikh,Foreign,Muslim,N/A,scst,1,1,75
B,48,2,3,1,Deshpande,Indian,Hindu,GM,scst,1,7,80
B,48,3,8,2,Pal,Indian,Hindu,OBC,scst,0,5,70
B,48,4,4,1,Kulkarni,Indian,Hindu,GM,scst,1,7,90
B,48,5,24,6,Mirza,Foreign,Muslim,N/A,scst,0,3,50
B,48,6,9,3,Madar,Indian,Hindu,SCST,scst,1,7,88
B,48,7,6,2,Waghmore,Indian,Hindu,OBC,scst,1,7,90
B,48,8,1,1,Desai,Indian,Hindu,GM,scst,1,5,50
B,48,9,14,4,Mulla,Indian,Muslim,OBC,scst,1,6,55
B,48,10,16,4,Sheikh,Indian,Muslim,OBC,scst,1,5,60
B,48,11,22,6,Mir,Foreign,Muslim,N/A,scst,1,7,90
B,48,12,18,5,Thapa,Foreign,Hindu,N/A,scst,1,7,90
B,48,13,10,3,Kamble,Indian,Hindu,SCST,scst,1,6,80
B,48,14,5,2,Kale,Indian,Hindu,OBC,scst,0,7,90
B,48,15,7,2,Sambrani,Indian,Hindu,OBC,scst,0,3,40
B,48,16,15,4,Haq,Indian,Muslim,OBC,scst,0,5,60
B,48,17,2,1,Joshi,Indian,Hindu,GM,scst,1,3,70
B,48,18,20,5,Dissanayake,Foreign,Hindu,N/A,scst,1,7,90
B,48,19,19,5,Prasanna,Foreign,Hindu,N/A,scst,1,7,90
B,48,20,13,4,Nadaf,Indian,Muslim,OBC,scst,1,7,100
B,48,21,12,3,Harijan,Indian,Hindu,SCST,scst,1,6,90
B,48,22,23,6,Akhand,Foreign,Muslim,N/A,scst,1,5,80
B,48,23,17,5,Gurung,Foreign,Hindu,N/A,scst,0,4,70
B,48,24,11,3,Wadder,Indian,Hindu,SCST,scst,1,7,100
B,49,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,1,50
B,49,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,100
B,49,3,8,2,Pal,Indian,Hindu,OBC,obc,1,7,100
B,49,4,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,100
B,49,5,24,6,Mirza,Foreign,Muslim,N/A,obc,0,1,0
B,49,6,9,3,Madar,Indian,Hindu,SCST,obc,1,7,100
B,49,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,100
B,49,8,1,1,Desai,Indian,Hindu,GM,obc,1,7,100
B,49,9,14,4,Mulla,Indian,Muslim,OBC,obc,1,1,100
B,49,10,16,4,Sheikh,Indian,Muslim,OBC,obc,1,1,100
B,49,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,1,100
B,49,12,18,5,Thapa,Foreign,Hindu,N/A,obc,1,7,100
B,49,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,1,100
B,49,14,5,2,Kale,Indian,Hindu,OBC,obc,1,7,100
B,49,15,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,100
B,49,16,15,4,Haq,Indian,Muslim,OBC,obc,0,1,100
B,49,17,2,1,Joshi,Indian,Hindu,GM,obc,1,1,100
B,49,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,7,100
B,49,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,7,100
B,49,20,13,4,Nadaf,Indian,Muslim,OBC,obc,0,1,100
B,49,21,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,100
B,49,22,23,6,Akhand,Foreign,Muslim,N/A,obc,1,1,100
B,49,23,17,5,Gurung,Foreign,Hindu,N/A,obc,1,7,100
B,49,24,11,3,Wadder,Indian,Hindu,SCST,obc,1,7,100
B,50,1,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,7,100
B,50,2,3,1,Deshpande,Indian,Hindu,GM,obc,1,7,100
B,50,3,8,2,Pal,Indian,Hindu,OBC,obc,1,7,100
B,50,4,4,1,Kulkarni,Indian,Hindu,GM,obc,1,6,80
B,50,5,24,6,Mirza,Foreign,Muslim,N/A,obc,1,7,100
B,50,6,9,3,Madar,Indian,Hindu,SCST,obc,1,6,90
B,50,7,6,2,Waghmore,Indian,Hindu,OBC,obc,1,7,100
B,50,8,1,1,Desai,Indian,Hindu,GM,obc,1,7,100
B,50,9,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,100
B,50,10,16,4,Sheikh,Indian,Muslim,OBC,obc,1,7,100
B,50,11,22,6,Mir,Foreign,Muslim,N/A,obc,1,7,100
B,50,12,18,5,Thapa,Foreign,Hindu,N/A,obc,1,7,100
B,50,13,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,100
B,50,14,5,2,Kale,Indian,Hindu,OBC,obc,1,7,100
B,50,15,7,2,Sambrani,Indian,Hindu,OBC,obc,1,7,100
B,50,16,15,4,Haq,Indian,Muslim,OBC,obc,1,7,100
B,50,17,2,1,Joshi,Indian,Hindu,GM,obc,1,7,100
B,50,18,20,5,Dissanayake,Foreign,Hindu,N/A,obc,1,7,100
B,50,19,19,5,Prasanna,Foreign,Hindu,N/A,obc,1,7,100
B,50,20,13,4,Nadaf,Indian,Muslim,OBC,obc,1,7,100
B,50,21,12,3,Harijan,Indian,Hindu,SCST,obc,1,7,100
B,50,22,23,6,Akhand,Foreign,Muslim,N/A,obc,1,7,100
B,50,23,17,5,Gurung,Foreign,Hindu,N/A,obc,1,7,100
B,50,24,11,3,Wadder,Indian,Hindu,SCST,obc,1,7,100
B,51,1,21,6,Sheikh,Foreign,Muslim,N/A,gm,0,7,100
B,51,2,3,1,Deshpande,Indian,Hindu,GM,gm,1,7,100
B,51,3,8,2,Pal,Indian,Hindu,OBC,gm,0,7,100
B,51,4,4,1,Kulkarni,Indian,Hindu,GM,gm,1,7,90
B,51,5,24,6,Mirza,Foreign,Muslim,N/A,gm,0,7,80
B,51,6,9,3,Madar,Indian,Hindu,SCST,gm,0,7,100
B,51,7,6,2,Waghmore,Indian,Hindu,OBC,gm,1,7,100
B,51,8,1,1,Desai,Indian,Hindu,GM,gm,1,7,80
B,51,9,14,4,Mulla,Indian,Muslim,OBC,gm,1,7,90
B,51,10,16,4,Sheikh,Indian,Muslim,OBC,gm,1,7,100
B,51,11,22,6,Mir,Foreign,Muslim,N/A,gm,0,7,90
B,51,12,18,5,Thapa,Foreign,Hindu,N/A,gm,1,7,80
B,51,13,10,3,Kamble,Indian,Hindu,SCST,gm,1,7,80
B,51,14,5,2,Kale,Indian,Hindu,OBC,gm,1,7,100
B,51,15,7,2,Sambrani,Indian,Hindu,OBC,gm,1,7,90
B,51,16,15,4,Haq,Indian,Muslim,OBC,gm,0,7,80
B,51,17,2,1,Joshi,Indian,Hindu,GM,gm,1,7,100
B,51,18,20,5,Dissanayake,Foreign,Hindu,N/A,gm,1,7,80
B,51,19,19,5,Prasanna,Foreign,Hindu,N/A,gm,1,7,100
B,51,20,13,4,Nadaf,Indian,Muslim,OBC,gm,0,7,80
B,51,21,12,3,Harijan,Indian,Hindu,SCST,gm,0,7,100
B,51,22,23,6,Akhand,Foreign,Muslim,N/A,gm,0,7,80
B,51,23,17,5,Gurung,Foreign,Hindu,N/A,gm,1,7,100
B,51,24,11,3,Wadder,Indian,Hindu,SCST,gm,1,7,80
C,59,1,1,1,Desai,Indian,Hindu,GM,obc,1,6,70
C,59,2,10,3,Kamble,Indian,Hindu,SCST,obc,1,5,60
C,59,3,13,4,Nadaf,Indian,Muslim,OBC,obc,1,5,60
C,59,4,18,5,Thapa,Foreign,Hindu,N/A,obc,0,4,50
C,59,5,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,1,30
C,59,6,6,2,Waghmore,Indian,Hindu,OBC,obc,1,6,70
C,59,7,17,5,Gurung,Foreign,Hindu,N/A,obc,0,4,50
C,59,8,23,6,Akhand,Foreign,Muslim,N/A,obc,0,6,50
C,59,9,2,1,Joshi,Indian,Hindu,GM,obc,1,7,50
C,59,10,15,4,Haq,Indian,Muslim,OBC,obc,1,6,70
C,59,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,4,50
C,59,12,14,4,Mulla,Indian,Muslim,OBC,obc,1,6,70
C,59,13,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,4,50
C,59,14,11,3,Wadder,Indian,Hindu,SCST,obc,1,6,70
C,59,15,3,1,Deshpande,Indian,Hindu,GM,obc,1,5,80
C,59,16,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,5,60
C,59,17,9,3,Madar,Indian,Hindu,SCST,obc,1,5,70
C,59,18,5,2,Kale,Indian,Hindu,OBC,obc,1,5,80
C,59,19,16,4,Sheikh,Indian,Muslim,OBC,obc,1,5,70
C,59,20,12,3,Harijan,Indian,Hindu,SCST,obc,1,4,70
C,59,21,7,2,Sambrani,Indian,Hindu,OBC,obc,1,4,70
C,59,22,8,2,Pal,Indian,Hindu,OBC,obc,1,3,70
C,59,23,24,6,Mirza,Foreign,Muslim,N/A,obc,0,3,70
C,59,24,4,1,Kulkarni,Indian,Hindu,GM,obc,1,5,70
C,77,1,1,1,Desai,Indian,Hindu,GM,obc,1,6,70
C,77,2,10,3,Kamble,Indian,Hindu,SCST,obc,1,7,80
C,77,3,13,4,Nadaf,Indian,Muslim,OBC,obc,1,5,5
C,77,4,18,5,Thapa,Foreign,Hindu,N/A,obc,0,6,60
C,77,5,21,6,Sheikh,Foreign,Muslim,N/A,obc,0,4,60
C,77,6,6,2,Waghmore,Indian,Hindu,OBC,obc,0,7,85
C,77,7,17,5,Gurung,Foreign,Hindu,N/A,obc,0,4,50
C,77,8,23,6,Akhand,Foreign,Muslim,N/A,obc,1,4,50
C,77,9,2,1,Joshi,Indian,Hindu,GM,obc,0,7,90
C,77,10,15,4,Haq,Indian,Muslim,OBC,obc,1,5,80
C,77,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,4,35
C,77,12,14,4,Mulla,Indian,Muslim,OBC,obc,1,7,85
C,77,13,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,4,45
C,77,14,11,3,Wadder,Indian,Hindu,SCST,obc,1,6,80
C,77,15,3,1,Deshpande,Indian,Hindu,GM,obc,1,6,90
C,77,16,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,4,60
C,77,17,9,3,Madar,Indian,Hindu,SCST,obc,1,7,90
C,77,18,5,2,Kale,Indian,Hindu,OBC,obc,1,7,100
C,77,19,16,4,Sheikh,Indian,Muslim,OBC,obc,1,6,80
C,77,20,12,3,Harijan,Indian,Hindu,SCST,obc,1,6,80
C,77,21,7,2,Sambrani,Indian,Hindu,OBC,obc,1,6,90
C,77,22,8,2,Pal,Indian,Hindu,OBC,obc,1,6,90
C,77,23,24,6,Mirza,Foreign,Muslim,N/A,obc,0,4,70
C,77,24,4,1,Kulkarni,Indian,Hindu,GM,obc,1,7,90
C,85,1,1,1,Desai,Indian,Hindu,GM,obc,1,1,80
C,85,2,10,3,Kamble,Indian,Hindu,SCST,obc,1,1,50
C,85,3,13,4,Nadaf,Indian,Muslim,OBC,obc,1,NA,60
C,85,4,18,5,Thapa,Foreign,Hindu,N/A,obc,0,2,20
C,85,5,21,6,Sheikh,Foreign,Muslim,N/A,obc,1,2,10
C,85,6,6,2,Waghmore,Indian,Hindu,OBC,obc,1,4,50
C,85,7,17,5,Gurung,Foreign,Hindu,N/A,obc,0,2,20
C,85,8,23,6,Akhand,Foreign,Muslim,N/A,obc,0,2,20
C,85,9,2,1,Joshi,Indian,Hindu,GM,obc,1,5,50
C,85,10,15,4,Haq,Indian,Muslim,OBC,obc,1,5,50
C,85,11,22,6,Mir,Foreign,Muslim,N/A,obc,0,2,20
C,85,12,14,4,Mulla,Indian,Muslim,OBC,obc,1,3,70
C,85,13,20,5,Dissanayake,Foreign,Hindu,N/A,obc,0,2,10
C,85,14,11,3,Wadder,Indian,Hindu,SCST,obc,1,5,60
C,85,15,3,1,Deshpande,Indian,Hindu,GM,obc,1,3,50
C,85,16,19,5,Prasanna,Foreign,Hindu,N/A,obc,0,2,20
C,85,17,9,3,Madar,Indian,Hindu,SCST,obc,1,3,50
C,85,18,5,2,Kale,Indian,Hindu,OBC,obc,1,5,60
C,85,19,16,4,Sheikh,Indian,Muslim,OBC,obc,1,4,60
